"visit_date";"day";"time";"house_id";"neighbourhood";"visitor";"agent";"review";"building";"conservation";"size";"price";"location";"did_not_like_the_location";"expected_a_better_preserved_property";"bigger_in_photos";"different_from_the_listing";"others"
"2018-04-04";"4/4/2018";"8:30";892,821,754;Flamengo;Priscila;Fabio;"3";false;false;false;false;false;false;false;false;false;muito antigo, sem Porteiro. nao é o que estou procurando.
"2018-04-04";"2018-04-04";"16:00";892,824,716;Pinheiros;Geraldo;Tatiana;"5";false;false;false;false;true;false;false;false;false;
"2018-04-04";"2018-04-04";"16:45";892,784,820;Pinheiros;Geraldo;Tatiana;"5";false;false;false;false;true;false;false;false;false;
"2018-04-04";"2018-04-04";"9:00";892,823,698;Jabaquara;Laís;Marialva;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-04";"2018-04-04";"12:30";892,819,380;Vila Madalena;Karen;Tatiana;"4";false;false;false;false;false;false;false;true;false;
"2018-04-02";"2018-04-02";"8:00";892,815,605;Perdizes;Rosi;Danilo;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-02";"2018-04-02";"8:15";892,819,957;Perdizes;Rosi;Danilo;"5";true;true;true;false;true;false;false;false;false;
"2018-04-02";"2018-04-02";"9:00";892,820,822;Centro;João;Vanessa;"5";true;true;true;true;true;false;false;false;false;
"2018-04-02";"2018-04-02";"16:30";892,814,284;Ferrazópolis;João;Vanessa;"2";false;false;false;false;false;false;true;false;false;
"2018-04-02";"2018-04-02";"9:30";892,821,501;Centro;João;Vanessa;"5";true;true;true;true;true;false;false;false;false;
"2018-03-29";"2018-03-29";"12:00";892,821,210;Vila Buarque;Luiz;Mauro;"1";false;false;false;false;false;true;false;false;false;
"2018-04-04";"2018-04-04";"14:15";892,823,223;Vila Mariana;Renato;Adriana;"3";false;false;false;false;false;true;false;false;false;
"2018-04-04";"2018-04-04";"16:00";892,822,891;Laranjeiras;Rafael;Fabio;"4";false;false;false;false;false;false;false;true;false;
"2018-04-04";"2018-04-04";"13:30";892,824,640;Vila do Encontro;Gabriela;Marialva;"2";false;false;false;false;false;false;true;false;false;
"2018-04-04";"2018-04-04";"16:30";892,819,365;Bela Vista;Kamilla;Marcos;"2";false;false;false;false;false;false;true;false;false;
